AttendanceID,StudentID,ClassID,Date,Status,Remarks
283,173,2,2024-09-19,Present,Accusantium tempora mollitia recusandae porro aliquam natus nesciunt repudiandae porro quod.
284,175,1,2024-09-10,Late,Ducimus perspiciatis dicta fugit praesentium quidem atque adipisci.
285,100,1,2024-09-13,Present,Expedita placeat veniam quo exercitationem quos voluptas officia dolores eaque.
286,225,2,2024-09-15,Absent,Assumenda tempora ratione architecto sed consequatur laudantium accusamus corrupti.
287,135,3,2024-09-06,Present,Dignissimos amet ipsa qui a voluptas harum illum.
288,373,3,2024-09-23,Late,At voluptate assumenda corporis tempore magnam id possimus cum a rem corrupti.
289,48,2,2024-09-05,Present,Modi repellendus atque perferendis exercitationem eaque voluptate eveniet nulla.
290,1,2,2024-09-08,Present,Libero sequi omnis placeat corrupti vero cumque nisi non nisi eligendi.
291,269,1,2024-09-16,Late,Commodi sed doloremque animi magnam quisquam porro iure nesciunt cum autem consequuntur.
292,276,1,2024-09-27,Late,Tenetur nobis libero numquam laudantium doloremque.
293,41,3,2024-09-12,Present,Harum adipisci facilis vel explicabo quisquam dolore labore veniam corporis vero vero velit.
294,161,2,2024-09-14,Late,Nemo error ipsam aspernatur reprehenderit ex aut harum ipsam sint consequatur repudiandae ratione.
295,352,3,2024-09-28,Absent,Cum recusandae dicta sed architecto reiciendis perspiciatis deserunt magni quos occaecati aut.
296,303,1,2024-09-07,Late,Quae velit repellat sit corrupti voluptatum explicabo architecto commodi.
297,188,1,2024-09-04,Late,Aliquid eum dignissimos id voluptate ipsam.
298,62,3,2024-09-10,Late,Tempore aut quo vitae aliquid quaerat distinctio reprehenderit illum accusamus labore voluptates nam.
299,312,3,2024-09-26,Present,Eveniet et ipsa ducimus saepe ratione placeat minus tempore sed assumenda est iusto laboriosam.
300,322,2,2024-09-15,Absent,Amet mollitia dolores alias veniam optio repellendus deleniti veritatis recusandae quae vel in.
301,118,1,2024-09-30,Present,Unde non vero ipsam error sint modi distinctio at maxime autem.
302,374,1,2024-09-26,Present,Culpa totam quod harum minus maiores.
303,140,2,2024-09-06,Absent,Ipsam at atque facere voluptatum error quam dolorem numquam quibusdam.
304,297,2,2024-09-15,Late,Animi omnis ad optio non distinctio facilis est labore officia distinctio.
305,125,1,2024-09-13,Absent,Maiores earum perspiciatis distinctio voluptatibus consequuntur nostrum enim modi commodi assumenda.
306,62,3,2024-09-25,Present,Nam repudiandae a sapiente illo beatae quod rerum quaerat.
307,207,3,2024-09-05,Absent,Aspernatur atque reiciendis dolorem molestias earum.
308,349,1,2024-09-10,Present,Facere laboriosam dignissimos dignissimos assumenda sint eius cupiditate.
309,320,1,2024-09-17,Late,Aut totam labore culpa numquam consequatur quas dolorum consequuntur.
310,73,1,2024-09-04,Absent,Sit ipsam ratione dolorem optio id nesciunt.
311,234,2,2024-09-26,Absent,Animi occaecati unde vero vel minima voluptates perferendis repellat laboriosam praesentium.
312,322,3,2024-09-06,Present,Perferendis corrupti magni laudantium quos iste perspiciatis aliquid veniam voluptatibus.
313,246,2,2024-09-19,Late,Doloremque nulla velit voluptatum nisi eius alias labore tempora illum.
314,44,2,2024-10-01,Present,Quos velit repellat magni fugiat impedit.
315,373,3,2024-09-12,Late,Delectus quia consectetur ullam architecto dignissimos quidem.
316,138,2,2024-09-06,Absent,Quidem libero praesentium neque eaque nihil nobis qui excepturi nesciunt.
317,61,1,2024-09-03,Absent,Minus debitis consequatur perspiciatis sed labore numquam ipsa deleniti excepturi.
318,23,2,2024-09-03,Late,Similique mollitia magni repellendus in tempora.
319,6,3,2024-09-19,Late,Quo quaerat inventore facere cumque facilis error quos.
320,199,2,2024-09-14,Late,Adipisci nobis repellat illo tenetur perspiciatis quia tempora a.
321,230,3,2024-09-26,Late,Qui nisi accusamus numquam cupiditate libero debitis odio at necessitatibus suscipit voluptates.
322,105,2,2024-09-25,Present,Unde necessitatibus nesciunt libero porro ex numquam occaecati suscipit fugiat debitis perferendis odit.
323,273,1,2024-09-11,Absent,Vel ab totam autem autem incidunt debitis.
324,325,1,2024-09-06,Present,Ab quibusdam sed ratione sed cum vero perferendis.
325,45,3,2024-09-09,Absent,Minima ut hic soluta ex velit dolorum dignissimos temporibus ex.
326,238,3,2024-09-28,Absent,Numquam assumenda quasi vel quaerat ratione similique cupiditate.
327,301,1,2024-09-11,Absent,Nihil reiciendis possimus dolorum illum praesentium.
328,242,2,2024-09-06,Absent,Alias magni provident nulla dignissimos itaque possimus voluptatem repudiandae minima distinctio debitis atque.
329,178,1,2024-09-17,Late,Quidem fugiat temporibus veritatis corrupti doloribus.
330,102,2,2024-09-09,Present,Magnam inventore iusto autem nostrum beatae ullam eos nesciunt distinctio laborum alias.
331,50,2,2024-10-01,Late,Fugiat eos minima eos reiciendis consequuntur.
332,376,3,2024-09-09,Present,Nemo adipisci voluptatibus placeat doloremque a temporibus nesciunt voluptatibus culpa.
333,308,1,2024-09-10,Present,Veniam dolorum placeat ab consequuntur culpa itaque debitis delectus quam sapiente occaecati voluptate.
334,276,3,2024-09-29,Late,Eius quia et molestias adipisci accusamus.
335,131,3,2024-09-05,Absent,Ea eveniet neque dicta exercitationem rerum ratione eius ratione delectus dolorum nisi.
336,342,3,2024-09-13,Present,Voluptatibus accusamus asperiores amet dolore impedit.
337,153,1,2024-09-17,Late,Inventore aperiam eum voluptatibus voluptas quisquam excepturi veniam natus.
338,246,2,2024-09-18,Late,Aspernatur ipsam maxime rem tempora harum.
339,88,2,2024-09-03,Present,Corporis corporis iure architecto consequatur eaque excepturi possimus nihil praesentium quis.
340,159,2,2024-09-28,Present,Nisi dicta quia ut asperiores quis ullam unde sequi asperiores dolorum.
341,8,1,2024-09-05,Late,Temporibus tempora veniam consectetur necessitatibus error fuga natus assumenda.
342,18,2,2024-09-10,Present,Aut commodi autem fugiat eum porro aut nesciunt dicta.
343,162,1,2024-09-08,Present,Ullam adipisci doloribus iusto nam dicta.
344,3,3,2024-09-08,Absent,Ab iste recusandae quas dignissimos reiciendis voluptatum beatae.
345,161,2,2024-09-24,Late,Dicta animi rerum incidunt illum quaerat iusto tempore iste voluptas eligendi.
346,364,3,2024-09-11,Late,Ipsum nemo delectus quidem eius tempora expedita dolorum.
347,245,2,2024-09-17,Absent,Dignissimos facere assumenda illo tenetur laudantium sunt.
348,307,2,2024-09-17,Present,Modi impedit eaque blanditiis fugit autem.
349,257,3,2024-09-25,Late,Nemo occaecati optio nisi voluptatem mollitia laborum in ad mollitia.
350,114,2,2024-09-30,Absent,Architecto placeat doloremque sint iusto numquam aliquam.
351,183,1,2024-09-23,Absent,Recusandae ullam laborum quidem vitae eum atque hic dolore id.
352,121,2,2024-09-22,Absent,Nisi deserunt sit minus laboriosam repellat unde amet.
353,296,2,2024-10-01,Absent,Quod ipsum commodi adipisci molestias fuga repudiandae mollitia eos minima.
354,366,2,2024-09-13,Present,Aut odit omnis sunt quisquam sit quam sapiente architecto at officia aperiam animi.
355,325,3,2024-09-25,Absent,Doloribus recusandae nemo quibusdam similique recusandae velit ab expedita exercitationem consequatur quis molestiae.
356,87,3,2024-09-30,Absent,Reiciendis veniam numquam ullam occaecati maxime velit optio sit.
357,338,2,2024-09-19,Absent,Provident molestiae voluptas magnam quaerat inventore ipsam praesentium quidem animi perspiciatis animi doloribus.
358,317,2,2024-09-30,Present,Molestias commodi recusandae voluptate enim sequi dolore nobis culpa deleniti consequatur facilis porro.
359,82,3,2024-09-07,Late,Nobis a quos nam ex tempore alias cumque.
360,197,2,2024-10-01,Absent,Libero voluptas consectetur aliquid quod explicabo perspiciatis ex suscipit dignissimos adipisci quasi.
361,9,1,2024-09-04,Late,Cumque non iure eos aut natus fugit sed.
362,301,3,2024-09-24,Late,Odio perspiciatis sit nulla voluptatem quasi odio odit nesciunt eveniet atque.
363,235,1,2024-09-12,Absent,Fugiat odit sit velit distinctio tempore.
364,177,3,2024-09-29,Present,Eius similique eaque officia nihil officiis nam repellendus voluptatem.
365,138,3,2024-09-03,Late,Dicta est ullam sit odit fuga aliquid eum.
366,154,3,2024-09-07,Absent,Vel nam quasi modi dicta dolorum deleniti deleniti sunt illum ut quas possimus.
367,191,2,2024-09-07,Late,Esse quibusdam nobis quae reiciendis earum fugit pariatur ipsum odio iure.
368,140,1,2024-09-16,Absent,Esse ab praesentium magni impedit fugiat mollitia reiciendis quos dolore laudantium.
369,265,2,2024-09-21,Absent,Iusto aspernatur sapiente praesentium a quidem modi nostrum.
370,70,1,2024-09-13,Absent,Optio atque et atque enim occaecati.
371,31,2,2024-09-05,Late,Distinctio optio maiores at provident animi quidem fuga veritatis voluptatum nulla.
372,142,1,2024-09-30,Absent,Veritatis fugit praesentium dolores quisquam recusandae.
373,164,2,2024-09-09,Absent,At quia repellat quia iure reiciendis perspiciatis natus iusto accusamus rem perspiciatis aperiam.
374,117,2,2024-09-17,Present,Deleniti nesciunt magni repellendus autem amet.
375,276,1,2024-09-13,Late,Repellendus consequatur aperiam nam excepturi doloribus praesentium porro.
376,167,2,2024-09-12,Absent,Quo modi non corporis neque sunt facere odit quidem.
377,241,1,2024-09-24,Absent,Accusantium culpa ullam minima quaerat quam architecto ab voluptatum.
378,38,1,2024-09-15,Late,Necessitatibus atque nulla accusantium eaque at similique ad quo modi.
379,314,1,2024-09-23,Absent,Quibusdam quo debitis deserunt neque iste iure vero.
380,17,2,2024-09-21,Present,Dolore dignissimos suscipit soluta quasi vitae quasi eos quibusdam voluptatum atque vero.
381,341,2,2024-09-27,Late,Nisi natus illo veniam iure nobis magnam a doloribus.
382,360,2,2024-09-14,Late,Tenetur laudantium eos expedita commodi quisquam expedita itaque inventore earum perferendis suscipit architecto.
383,95,3,2024-09-17,Absent,Harum impedit deserunt porro voluptate laboriosam voluptate.
384,278,1,2024-09-05,Late,Sapiente corporis aliquid consectetur blanditiis optio numquam aliquam dolorum earum molestias voluptatibus.
385,381,3,2024-09-16,Late,Doloribus sequi consequuntur in aliquam minus earum deleniti cumque.
386,194,1,2024-09-21,Late,Minima exercitationem voluptate corporis optio asperiores fuga totam eos.
387,17,3,2024-09-20,Late,Repellendus aut fugit temporibus dolorem facere adipisci commodi dignissimos.
388,30,1,2024-09-21,Present,Impedit deserunt veniam nemo perspiciatis repellendus consequatur quasi molestiae neque.
389,162,2,2024-10-01,Late,Doloribus minima at animi facilis inventore voluptas facere alias voluptatem harum animi.
390,293,2,2024-09-20,Absent,Explicabo fugit placeat asperiores mollitia iusto id.
391,346,3,2024-09-05,Late,Hic veritatis alias provident quos architecto quasi cumque.
392,28,3,2024-09-06,Present,Itaque recusandae illo quia expedita quia sit dolore dolorem eius labore molestias qui.
393,374,2,2024-09-25,Present,Dicta facilis eveniet cum illo consequatur omnis laudantium in vero labore odit voluptas.
394,387,1,2024-09-07,Absent,Corporis in ullam autem quis fuga sit cum autem.
395,80,2,2024-09-08,Present,Eius nemo iste qui quibusdam non sunt quaerat.
396,74,3,2024-09-27,Late,Quod molestiae omnis mollitia voluptatum expedita possimus nemo.
397,238,2,2024-09-08,Present,Quasi tenetur illum nisi nostrum quo harum vel.
398,203,1,2024-09-20,Late,Nemo illum ipsa dolores nobis nisi quas nulla id libero.
399,2,1,2024-09-21,Late,Dicta cum ipsum qui nulla reprehenderit tenetur laudantium.
400,93,2,2024-09-03,Late,Suscipit tempora aliquam ad temporibus repudiandae laborum.
